Module,Size_KB,Combined_Chunks
prism-nsis.min.js,4.66,No
prism-objectivec.min.js,0.78,No
prism-ocaml.min.js,9.66,No
prism-odin.min.js,7.64,No
prism-opencl.min.js,5.55,No
prism-openqasm.min.js,0.89,No
prism-oz.min.js,2.99,No
prism-parigp.min.js,4.81,No
prism-parser.min.js,1.50,No
prism-pascal.min.js,9.68,No
prism-pascaligo.min.js,1.40,No
prism-pcaxis.min.js,1.65,No
prism-peoplecode.min.js,1.30,No
prism-perl.min.js,2.22,No
prism-php-extras.min.js,5.48,Yes
prism-php.min.js,3.40,No
prism-phpdoc.min.js,7.68,No
prism-plant-uml.min.js,2.52,No
prism-plsql.min.js,7.67,No
prism-powerquery.min.js,9.17,No
prism-powershell.min.js,8.74,Yes
prism-processing.min.js,8.23,No
prism-prolog.min.js,3.52,No
prism-promql.min.js,7.02,No
prism-properties.min.js,7.66,No
prism-protobuf.min.js,1.59,No
prism-psl.min.js,9.17,No
prism-pug.min.js,8.98,No
prism-puppet.min.js,7.00,No
prism-pure.min.js,1.11,No
prism-purebasic.min.js,1.50,No
prism-purescript.min.js,2.36,No
prism-python.min.js,6.63,No
prism-q.min.js,5.80,No
prism-qml.min.js,5.97,No
prism-qore.min.js,6.16,No
prism-qsharp.min.js,6.55,No
prism-r.min.js,7.64,No
prism-racket.min.js,0.26,No
prism-reason.min.js,2.77,No
prism-regex.min.js,8.66,No
prism-rego.min.js,0.68,No
prism-renpy.min.js,7.11,No
prism-rescript.min.js,6.74,No
prism-rest.min.js,7.92,No
prism-rip.min.js,6.87,No
prism-roboconf.min.js,2.18,No
prism-robotframework.min.js,3.83,No
prism-ruby.min.js,5.87,No
prism-rust.min.js,8.42,No
prism-sas.min.js,2.34,No
prism-sass.min.js,8.85,No
prism-scala.min.js,5.23,No
prism-scheme.min.js,2.54,No
prism-scss.min.js,6.26,No
prism-shell-session.min.js,3.48,No
prism-smali.min.js,1.44,No
prism-smalltalk.min.js,7.75,No
prism-smarty.min.js,2.03,No
prism-sml.min.js,6.32,No
prism-solidity.min.js,5.05,No
prism-solution-file.min.js,4.45,No
prism-soy.min.js,3.93,No
prism-sparql.min.js,1.05,No
prism-splunk-spl.min.js,9.11,No
prism-sqf.min.js,32.72,No
prism-sql.min.js,9.63,No
prism-squirrel.min.js,3.48,No
prism-stan.min.js,2.57,No
prism-stata.min.js,1.71,No
prism-stylus.min.js,6.90,No
prism-supercollider.min.js,4.47,No
prism-swift.min.js,3.17,No
prism-systemd.min.js,6.63,No
prism-t4-cs.min.js,0.21,No
prism-t4-templating.min.js,9.01,No
prism-t4-vb.min.js,0.19,No
prism-tap.min.js,0.49,No
prism-tcl.min.js,1.58,No
prism-textile.min.js,3.44,No
prism-toml.min.js,1.04,No
prism-tremor.min.js,1.64,No
prism-tsx.min.js,0.41,No
prism-tt2.min.js,8.53,No
prism-turtle.min.js,0.33,No
prism-twig.min.js,0.98,No
prism-typescript.min.js,7.93,No
prism-typoscript.min.js,0.15,No
prism-unrealscript.min.js,4.35,No
prism-uorazor.min.js,0.38,No
prism-uri.min.js,4.30,No
prism-v.min.js,1.18,No
prism-vala.min.js,6.71,No
prism-vbnet.min.js,9.05,No
prism-velocity.min.js,4.50,No
prism-verilog.min.js,8.04,No
prism-vhdl.min.js,0.59,No
prism-vim.min.js,6.92,No
prism-visual-basic.min.js,1.79,No
prism-warpscript.min.js,3.62,No
prism-wasm.min.js,2.46,No
prism-web-idl.min.js,8.11,No
prism-wgsl.min.js,3.48,No
prism-wiki.min.js,7.90,No
prism-wolfram.min.js,4.64,No
prism-wren.min.js,5.28,No
prism-xeora.min.js,5.44,No
prism-xml-doc.min.js,8.03,No
prism-xojo.min.js,1.55,No
prism-xquery.min.js,7.72,No
prism-yaml.min.js,8.45,No
prism-yang.min.js,6.53,No
prism-zig.min.js,2.37,No
